,LearningCommArea_LGI,LearningCommArea_IndependentStudy,LearningCommArea_SGI,LearningCommArea_SelfContainedClassrooms,LearningCommArea_Community,LearningCommArea_BreakoutAreas,LearningCommArea_PresentationAreas,LearningCommArea_OutdoorLearning,LearningCommArea_Section Notes,LearningCommArea_AvgRating,EduIEQ_Stimulating,EduIEQ_SafeHealthy,EduIEQ_ViewsConnect,EduIEQ_Daylight,EduIEQ_Lighting,EduIEQ_Acoustics,EduIEQ_MoveExplore,EduIEQ_Adaptability,EduIEQ_Section Notes,EduIEQ_AvgRating,IEQ_Furn_Design,IEQ_Furn_Flexibility,IEQ_Furn_VarietySeating,IEQ_Furn_Movement,IEQ_Furn_Section Notes,IEQ_Furn_AvgRating,Instructional_Regular_Size,Instructional_Regular_StorageMat,Instructional_Regular_Accessibility,Instructional_Regular_Section Notes,Instructional_Regular_AvgRating,Instructional_SPED_Size,Instructional_SPED_AppSupportspace,Instructional_SPED_StorageMat,Instructional_SPED_Techpower,Instructional_SPED_sink,Instructional_SPED_writeablesurface,Instructional_SPED_accessibility,Instructional_SPED_Section Notes,Instructional_SPED_AvgRating,Instructional_SciAPLCTE_sink,Instructional_SciAPLCTE_writeablesurface,Instructional_SciAPLCTE_accessibility,Instructional_SciAPLCTE_Section Notes,Instructional_SciAPLCTE_AvgRating,Instructional_Visual&Fitness_size,Instructional_Visual&Fitness_supportspace,Instructional_Visual&Fitness_storagemat,Instructional_Visual&Fitness_techpower,Admin&Health_Accessibility,Admin&Health_Mailcopy,Admin&Health_Reception,Admin&Health_adminoffice,Admin&Health_healthoffice,Admin&Health_confroom,Admin&Health_Section Notes,Admin&Health_AvgRating,Public_displaystudentwork,Public_storageforequipment,Public_mediacenter,Public_cafeteria,Public_gym,Public_auditorium,Public_Section Notes,Public_AvgRating,Instructional_Visual&Fitness_sink,Instructional_Visual&Fitness_writeablesurf,Instructional_Visual&Fitness_accessibility,Instructional_Visual&Fitness_Section Notes,Instructional_Visual&Fitness_AvgRating,Public_accessibility,Public_techpower,LearningCommArea_Playground,EduIEQ_UniversalDesign,EduIEQ_DisplayofWork,Instructional_Regular_Techpower,Instructional_Regular_Sink,Instructional_Regular_eboard,Instructional_SciAPLCTE_size,Instructional_SciAPLCTE_supportspace,Instructional_SciAPLCTE_storagemat,Instructional_SciAPLCTE_techpower,Header_bldgsqft,Header_enrolment,Header_numclassroom,Header_grades,Header_campustypology,Header_assessname,Header_assessdate,Headerr_region,Header_reconfig,Security_entry,Security_bldgsecurity,Security_sitesecurity,Security_identity,Security_wayfinding,Security_Section Notes,Security_AvgRating,LearningCommArea_Differentiated,LearningCommArea_PBL,Header_Schoolname,Header_code
74039-EAQ-MARIA TERESA PIÑEIRO.pdf,0,0,2,0,0,0,0,0,1 pull out space shared by 4 teachers,0.363636,2,2,2,2,0,0,0,0,,0.8,2,2,0,0,,1,0,2,0,Classroom: 24x29,0.666667,0,0,0,0,0,0,0,"Had SPED classroom, but was divided to create nurse office and psychologist's office, 4 teachers share SPED pull-out space: 24x29 - space used to be computer lab, no contained SPED classroom",0,2,2,0,"Biology classroom is only one with sinks, CTE baking/nutrition classroom: 36x29, marketing classroom: 29x36",1.142857,0,0,2,2,0,0,0,0,0,0,"1 principal's office, small room for nurse office sharing with SPED, social worker office",0,0,2,0,2,0,0,"No auditorium, no gym, has basketball court w/roof (no leaking), drainage issue around basket court, bleachers has no roof, library: 30x48 - projector doesn't work, cafeteria: 29x53, fitness room converted from a room w/o solid partition: 36x29",0.75,2,2,0,"Health class uses part of CTE classroom, art classroom: 24x29 - no ventilation for paint fumes, ",1.142857,0,2,2,0,0,0,0,2,0,2,0,2,40112,342,18,9 10 11 12   EES,Enter Text,Tianyu Zhang,2/10/2022,BAYAMON,Enter Text,0,2,2,2,0,"Wire mesh fence, iron picket fence, fence was damaged by planter",1.2,0,0,MARIA TERESA PIÑEIRO,74039
74476-EAQ-MARIA J CORREDOR RIVERA.pdf,0,0,0,0,0,0,0,0,"Unprotected outdoor BB court 50 x 40, plus additional semi covered concrete play area of another 2000 sf.  Grassed play area of 150 sf (50 x 30); but no equipment or fall-cushioning tiles.",0,0,0,0,4,0,2,0,0,6' walkways and overhangs.  Metal  jalosie louver both sides of classrooms for light and ventilation.  Concrete walls and interior surfaces.  Good for sound resistance but not sound absorbtion.,0.8,0,0,0,0,Tablet arm chairs typ.  Standard tables and chairs in other spaces.,0,0,2,0,"Typ classroom 667 sf (23 x 30) one markerboard and some cabinets. Solid doors and storm doors/gates together, with slide bolts, but no threshold issues. 6' walkways and overhangs.  Stairs 5'-8"".",0.333333,0,0,2,0,0,0,0,SPED uses a typical classroom. (No sinks). ,0.285714,0,0,0,Technology room with storage room 667 sf (23 x 29) for teaching computer skills.,0.285714,0,0,0,0,0,2,2,0,0,0,"Receptionist/waiting area, secretary office, director office, social worker office, two toilets, and large breakroom with mail and copy.",0.666667,0,0,0,0,0,0,Cafeteria 1590 sf (30 x 53).  Large storage.770 sf (22 x 35).  Media center 1015 (29 x 35) and no support space.,0,0,0,0,"No rooms of this type,",0,0,0,0,0,2,0,0,0,0,0,2,0,28500,202,24,K 1 2 3 4 5        EEE,"U-shape and bar, 2 story.",Jeff Peterson ,2/16/2022,BAYAMON,Enter Text,0,0,0,0,0,"Not welcoming.  High climb stairs and ramp winding up from street to gated entry.  Closed-in feeling. Perimeter cl fencing 4 and 6 ft high with some barb wire all around and two gates, so mostly secure.",0,0,0,MARIA J CORREDOR RIVERA,74476
74864-EAQ-ABELARDO DIAZ ALFARO.pdf,0,0,2,0,0,0,0,2,"Open air gym, only large gathering space. ",0.727273,2,2,0,0,0,0,0,0,"Classrooms basic setup, all concrete, shutters closed",0.4,0,0,0,0,Add notes,0,2,0,2,20'x30' 30 students,2,2,4,2,4,0,2,2,"Integrated with classes, have independent group rooms, and solo rooms",2.285714,2,2,0,Add notes,1.428571,2,0,0,2,2,2,2,2,2,2,"7 offices, 1 conference room.",2,0,0,2,4,2,0,Add notes,1.5,0,0,0,Add notes,0.571429,2,2,2,0,0,4,2,2,2,2,0,2,64412,395,37,6 7 8      EEI,Enter Text,Devin Brown,2/11/2022,BAYAMON,Enter Text,2,0,2,0,0,"Secure parking, entrance off busy road. Campus is internally facing. Mostly parent drop off",0.8,0,2,ABELARDO DIAZ ALFARO,74864
75630-EAQ-BETTY ROSADO DE VEGA.pdf,0,0,0,0,0,0,0,2,"600 sf concrete play area.  Outdoor learning gazebo, 1040 sf.  Covered outdoor BB court 3192 sf (42 x 76).With 4 row x 30, covered concrete bleachers seating 80.",0.363636,2,0,0,4,0,2,0,0,All entries combination gates and storm doors with slide bolts but no threshold issues. Concrete walls and interior surfaces - not good sound absorbing but stops sound transmission between rooms.,1,0,0,0,0,Tablet arm chairs typically.  Standard tables and chairs elsewhere.,0,0,0,0,"Typical classroom 600 sf.  Portable cabinets  for teacher storage, only one markerboard. ,Metal jalosie louver windows.  Separate kindergarten building with grassed 800 sf play area with equipment. Kindergarten classroom 950 sf with toilets and 50:sf storage room., ",0,0,0,2,0,0,2,0,"4 SPED classrooms 288 sf, with portable teacher wardrobe and storage cabinets.",0.571429,0,0,0,Science used to be in current art room when they had 6th grade. No science room currently.,0,0,0,2,0,0,0,0,0,0,0,"Reception/waiting, director office, break room/copy, storage room.  Social worker and therapist in portable trailer building but no longer usable after hurricane.",0,0,0,0,2,0,0,"Cafeteria seating area 720 sf, storage 680 sf, kitchen 400 sf.  Media center 600 sf and no support space.",0.25,2,4,0,"Art classroom 600 sf with sink and 100 sf storage room, 700 sf total.",1.142857,0,0,2,0,2,0,0,0,0,0,0,0,22280,158,18,K 1 2 3 4 5        EEE,"Bar configuration, 1 and 2 story buildings",Jeff Peterson ,2/17/2022,SAN JUAN,Enter Text,0,0,0,0,2,"Some parking in school area right next to admin, but most parking at base of hill by street with no sight lines  to entry.  No protected walkways to parking or drop offs. 6' high cl fence continuous except where interrupted by jungle.  They consider it secure  ,but no barbed wire . Tight hilly site. Many bussed students drop off at bottom of very steep hill and turns around in parking lot.   Access to kindergarten building to rest of campus by steep driveway and steep steps. ",0.4,0,0,BETTY ROSADO DE VEGA,75630
75705-EAQ-RAFAEL MARTINEZ NADAL.pdf,0,0,0,0,2,0,4,0,"Courtyard has concrete slab and concrete benches for presentations. Theater not acessed, but about 50; x 60. With stage and lighting, loose chairs  gazebo 20 x 40   Uncover for Bb court.",0.545455,0,0,0,0,0,0,0,0,"Gates and doors with slide bolts,  some threshold issues.  Very attractive engaging front entry   Mediation central and classrooms all br stairs  Cafeteria accessible. ",0,0,0,0,0,Add notes,0,0,0,0,"Typ classroom 24 x24. With 2 mbs.   1"" threshold every where - not accessible.",0,0,0,0,0,0,0,0,4 SPED classrooms.: classrooms divided.,0,0,0,0,"5 Science rooms with sinks and base cabinets.24 x 33, one marker board.  One computer room 24 x 24.  Computers, row mbs.",0,0,0,0,0,0,2,4,4,0,0,"Large open reception/waiting area, Counselor, social worker, health, director, and storage. ,Toilets. Psychologist.  Accessible except for doors.",1.666667,0,0,0,0,0,0,"Media center 37 x 50, no support spaces. Cafeteria 30 x 50.  Kitchen 20 x 30, toilet  ,Storage11 x 18, and office.",0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,55250,223,43,6 7 8      EEI,"Courtyard, three story  can hold 1000 kids",Jeff Peterson ,2/17/2022,SAN JUAN,Enter Text,0,0,0,4,0,"Nice lobby area with display opportunities.  Front iron fence 6' and balance is 6' chain link, not secure   .Canopy extension to street, abandoned for Three years. Dead end corridors at upper levels . 5' stairs . Parking on side and in back: 79 spaces.",0.8,0,0,RAFAEL MARTINEZ NADAL,75705
75713-EAQ-RAMON MARIN SOLA.pdf,4,4,4,4,2,4,2,4,"Great school for individual learning and special education, has multiple individual classrooms for different types of special needs and comes with psychologist",3.272727,2,4,2,4,2,2,2,0,"Great display of work and great signage, clearly identifies exits and special needs classroom",2.6,0,0,0,0,Add notes,0,4,2,4,"Good equipment just not working, they have a whole computer lab that was not being utilized",2.333333,4,4,2,2,4,4,4,Add notes,3.428571,0,0,0,School was k-5 did not have any science rooms,0,4,2,2,2,4,2,0,2,2,0,Admin is very small and does not have any ac working the copy room is cluttered and printers don't work / only one small office for the nurse to work at / admin is located near grease trap and causes a lot of problems ,1.666667,4,2,2,2,2,0,Gymnasium roof is deteriorating  cafeteria is very small for the amount of kids and had no hood or fire suppression system/,2,4,4,4,Add notes,3.142857,2,2,2,4,4,2,2,0,0,0,0,0,8400,396,30,K 1 2 3 4 5        EEE,Enter Text,Javier Rodriguez,2/15/2022,SAN JUAN,Enter Text,2,2,2,4,0,10 students per classroom - classrooms are about 25 c 25,2,4,2,RAMON MARIN SOLA,75713
75747-EAQ-MARIANO ABRIL ELEMENTAL.pdf,4,0,2,4,2,2,0,4,The school has three classrooms dedicated for special needs kids usually with 5 students or less inside and the rooms tend to be smaller and more personal. The playground is pretty beat up and has some areas that might be harmful to the kids,2.363636,2,2,0,4,2,0,2,0,"Interior lighting did not work on most of the classrooms in some areas, windows are basically just shutters with screens no glass is used",2,0,0,0,0,Furniture was typical seating for kids facing the teacher and in some of the lower grades it was just round tables,0,4,4,0,"Only the first and second floors were ADA accessible, the third floor can only be accessed by the stairs. They have sufficient storage for all of their items. Classrooms seem to be 24 x 24 and has around 20 kids per classroom",2,2,2,4,2,2,4,2,Sped classrooms seem to be a little too small for the amount of kids that were being served 5 per room and room seemed to be 300 sq maybe 400,2.571429,0,0,0,This school is only K through 5th grade no science lab on site,0,4,2,4,2,4,2,2,2,0,0,"We did not see a health office but we did see a psychologist room which treated two of the kids, the admin is small but it has a check in area and is right next to the directors office. Admin feels small and a little cluttered ",1.666667,4,4,0,2,2,0,"Cafeteria is directly in front of the covered gym and playground, currently the cafeteria is not being used but should be opening soon. The food storage room is in bad conditions and has rotten food containers as well as stains on the floors. ",2.25,2,4,0,The physical Ed room is near the court and seems to be used often however the art room is on the third floor and completely inaccessible for Ada,2.571429,4,2,2,4,4,2,2,0,0,0,0,0,17516,180,18,K 1 2 3 4 5        EEE,Enter Text,Javier Rodriguez,2/15/2022,SAN JUAN,Enter Text,0,2,4,2,4,Perimeter of the building is fenced in and there are cameras around the building. Exterior security lights do not work,2.4,4,2,MARIANO ABRIL ELEMENTAL,75747
75788-EAQ-SANTIAGO IGLESIAS PANTIN.pdf,0,0,0,0,0,0,0,0,"Large courtyard used for recreational BB, and could be used for outdoor functions.  Very overgrown.  No interior spaces of this type could Bree be determined - closed.",0,2,2,0,2,2,2,0,0,"All doors are double doors with slide bolts and padlocks, not accessible. 6 ft walkways and overhangs. Jalosie openings typ.  Student art display on outside walls.  Able go in one classroom which was only 400 sf (25 x 16) and had a sagging acoustical ceiling, 2 each 8' markerboards.  Some daylighting through jalosie louvered window openings.",1.2,0,0,0,0,"Standard tables and chairs only from the one classroom we could go in,  All other rooms locked.",0,0,0,0,Typ classroom appears to be 480 sf (20 x 24),0,0,2,0,0,0,0,0,Two  stairs and two ramp. To upper level.   Sped rooms with attached small fenced playground . Interior not seen - locked.,0.285714,0,0,0,Not known - closed.,0,0,0,0,0,0,0,0,0,0,0,Adjacent to entry breezeway but not observed - closed. ,0,0,0,2,0,0,0,"One Small play area with equipment with safety tiles, but overgrowth.  Media center approx 960 sf. (40 x24). one6' wide stairs and ramps.   Cafe 24 x 40.  Interior spaces not observed - closed.",0.25,0,0,0,Not known - closed.,0,0,0,0,0,2,0,0,0,0,0,0,0,61394,427,26,PK K 1 2 3 4 5 6       EEE,"Courtyard  1 and two story,",Jeff Peterson ,2/15/2022,SAN JUAN,????..,0,0,2,2,2,"Abandoned, and for one year as reported by security guard. Entry close to street and not welcoming due to 7' concrete & iron security fence at sidewalk full frontage.  Much overgrowth and landscaping neglect.  Abandoned for at least a year according to security.  Perimeter: Iron & concrete fence at front, chain link fence, with partial barbed wire, 6-8 ft high at rear.  Drop off loop (no bus) opposite side than front entry accessed from another street.  Very tight site.  Airy entry breezeway.  Front entry is accessible with ramp.",1.2,0,0,SANTIAGO IGLESIAS PANTIN,75788
75804-EAQ-JUAN E MIRANDA.pdf,0,0,0,0,4,0,2,0,"Gym used for events and has a raised platform area for gatherings and student, teacher, and guest presentations. See gym info.",0.545455,2,2,0,4,4,2,0,0,"4"" steps at classroom entries not accessible. Half doors have new ADA door hardware, half slide bolts. Concrete walls good for soundproofing, but concrete surfaces in rooms non sound absorptive..  Most classroom entries double door:  storm doors plus steel plate doors.",1.4,0,0,0,0,"Tablet arm chairs typ.  Standard tables and chairs in media center, art, cafeteria, and other special spaces.   ",0,0,2,0,"700 sf (25 x 28) typical classroom size.   No projectors or smart boards. Typ classrooms have markerboards on two walls.  4"";steps at classroom entries not accessible.  Entry door double: storm door plus  steel plate door with slide bolts and padlocks. ",0.666667,0,2,2,0,0,2,0,"700 sf typical for 7 SPED classrooms. Min storage, one marker board,  Separate 8x16 modular building  outside for occupational, physical and speech therapy.  A 700 sf SPED support suite with two offices, one storage room and open occ/phys/speech therapy area with 16' markerboard.",0.857143,0,0,0,"700 sf Science rooms have sinks, base cabs. One markerboard, but No tech.  FCS/FACS room 1736 sf (62 x 28). Several kitchen cabinet stations with sinks.",0.285714,0,2,2,0,0,0,4,4,4,4,"Like barboso in overall size.  Health has one large double office in admin suite, men/women  toilets. Mail copy in the large storage room.  Three office:  two  counselors, therapy and storage room.  Admin area accessible within the admin suite.",2.666667,0,0,0,2,4,0,"Media center reading room 1736 sf (28 x 62), with standard tables and chairs no tech.  Support spaces. Cafeteria 1400 sf.  Gym 8160 sf (120 x 68) with 6 row bleachers for 375 people, and raised platform, and men/women toilets. ",1.25,0,0,0,Art is in a 700 sf theatrical room with 12' deep stage. One 16' markerboard. . ,0.571429,4,0,0,0,0,0,0,2,0,0,2,0,64376,377,32,6 7 8      EEI,"Courtyard, 2 and 3 story, sloping site.",Jeff Peterson ,2/15/2022,SAN JUAN,?..,0,0,0,2,2,"This school is basically a mirror image of Barcelo in layout, construction, etc., except this has an enclosed gym in lieu of outdoor BB court.   6' Chain link fence w barbed wire top at perimeter, but interrupted by jungle at rear of site.  Entry canopy near drop off.  Parking around side of building, so no sight line from entry. ",0.8,0,0,JUAN E MIRANDA,75804
75812-EAQ-JOSEFINA BARCELO.pdf,0,0,0,0,2,0,0,0,"Cam meet in covered Basketball (BB) court area,",0.363636,2,2,0,4,4,2,0,0,"Large outdoor sloping courtyard very attractive and engages open walkways around entire school.  Large jalosie windows.to the outside not to courtyard. Screen blocks on courtyard side for ventilation and daylight,  6' canopies and walkways. 6' walkways and overhangs.  Concrete walls soundproof but no absorption in spaces - all concrete.",1.6,0,0,0,0,"Most furniture is tablet arm chairs.  Standard tables and chairs in art, media center, and other special spaces.",0,0,2,0,"700 sf (25 x 28) typical classroomm size. Slide bolts and padlocks typical on doors.  4"" Steps to keep water out from walkways into classrooms not accessible.  One marker board and one tack board per room.minimal storage in wall cabinets .",0.666667,0,0,0,0,0,2,0,One sped classroom with one marker board and tack board .  One projector  in media center only. Minimal storag in base cabinets..,0.285714,2,2,0,"Science, sinks, tables, chairs.w storage room. One marker board.  Computer room classroom size. With plenty power and data.  Accessibility bad as per typical classrooms.",0.857143,0,0,2,0,4,2,2,4,0,0,"Reception/waiting room. Four offices, one large double office, two toilets, storage room. No health office or conf room.  Suite entry door has  gates and padlocks.  All doors on campus typically residential storm doors to keep a/c in plus a steel plate door for security.",2,0,0,2,0,2,0,"700 sf Theater room plus 12' deep raised platform being used for another art room.  Cafeteria is 1036 sf (37 x 28)  No adjacencies. Hardware all slide bolts and 4"" steps at entries as is typical. Cafe storage 1400 sf (50 x 28).  Jalosie louvers w screens. No gym, but 60 x 90 covered BB court w three small concrete bleachers seating 60 people total. Media center has some student computers 1736 sf (62 x 28); plus 3 offices and storage room , no other power, tech.  Theater has a stage classroom size plus 12' deep stage.  Used as classroom  ",0.5,0,2,0,"Art classroom typ classroom size. No sinks one marker board, minimal storage.",0.571429,0,0,2,0,2,0,0,2,0,0,2,0,58104,374,30,9 10 11 12,"Courtyard , 2 story, sloping site.",Jeff Peterson ,2/15/2022,SAN JUAN,??,0,0,0,2,0,"Canopy adjacent to drop off. No bus. Unprotected path to parking around side of bldg. No sight  line. Tight site abuts a highway  4' - 6' chain link fence around site, interrupted by jungle in back. Not secure.  Typical gates at front entry.   Much display in entry breezeway.  Site is in a very low area below the hwy retaining wall, and in a wooded area.  Feels secluded.  Stairways are 5'-8"" wide.  Walkways are 6' wide.",0.4,0,0,JOSEFINA BARCELO,75812
75838-EAQ-MARGARITA JANER PALACIOS.pdf,0,0,0,0,0,0,0,0,"Covered BB court 60 x 100, plus covered bleachers 10 rows x 100' and raised platform area for presentation  ",0,0,0,0,0,0,0,0,0,"Gates at doors with slide bolts, most have 1 to 2"" steps - non-accessible. Some murals ",0,0,0,0,0,"Tablet arm chairs.  Stairs 42"".  Computer tables in computer lab.  No ramps  to 3rd and 4th levels.",0,0,0,0,"Typical classroom 24 x26, 1 marker board,  one wall/base cabinet, portable teacher storage.  Metal jalosie louvers each side of classrooms. Tow each One story classroom buildings: 6; classrooms total at  25 x25,: no threshold issues, two marker boards,  ",0,0,0,0,0,0,0,0,"2 SPED suites:;16 x 20 classroom plus toilet, two marker boards ,and 8' x 26' office. 4 standard classrooms.",0,0,0,0,"One Science lab, 22 x 38, no sink. Just portable teacher cabinet.  Waiting for more equipment to use it for science.  3d printer.  Computer lab classroom size, one markerboard. Teacher cabinet.",0,0,0,2,0,0,0,4,2,0,0,"Combined Reception, secretary and waiting area, director office with toilet, secretary office, conference room with copy, breakroom, toilets .  No health office.",1,0,0,0,0,0,0,"Media center 24 x 80, with computers and smart TV.  No support space. Cafeteria 26 x 64. No servery. Kitchen 15 x 30, storage 15 x 18 and 12 x 20.",0,0,0,0,"music room 25 x  20, with two marker boards. Art classroom 20 x 32, with sink, two marker boards.  Teacher cabinet ",0.285714,0,0,0,0,0,0,0,0,0,0,0,0,48960,572,54,9 10 11 12,"Bar and L-shaped, 1 to 4 stories.",Jeff Peterson ,2/17/2022,SAN JUAN,Enter Text,0,0,0,0,0,"Perimeter fence 6' concrete fencing, iron fence in front, but openings for driveway and broken down spot.. Covered parking around side of campus. No sight lines parking.",0,0,0,MARGARITA JANER PALACIOS,75838
75879-EAQ-JUAN PONCE DE LEON.pdf,0,0,0,0,2,0,2,0,"Covered outdoor BB court appears to be the central public/gathering/activity area.  It was very much in use after school as well.  Circulation: 6' walkways and overhangs.  Three small fenced outdoor play areas with minimal play equipment and no safety cushioned tiles, adjacent to lower grade level classrooms.",0.363636,4,0,0,2,2,2,0,0,"18 mo - 3 year olds.  Small tables and chairs..  sink, little storage, non acoustical layin panels. Campus style configuration.  No sound transmission between rooms generally due to concrete walls, but concrete surfaces in rooms don't absorb sound. Doors are the double storm doors and steel plate doors with slide bolts, and 2"" steps to keep water out, so non accessible. ",1.4,0,0,0,0,Differentiated tables but standard chairs.  No markerboards since it is Montessori-method of teaching.,0,0,0,0,"One-story building classrooms 621 sf (27 x 23): and interconnecting doorways.  Several isolated classroom buildings.  3-6 grade classrooms 912 sf (24 x 38), with sinks, toilet room, storage room, each room.  2-story building classrooms 660 sf (22 x 30).",0,0,0,0,0,0,0,0,No sped classrooms. SPED kids are all in with others.  Therapist works with individuals.,0,0,0,0,No learning areas of these types. ,0,0,0,2,0,0,2,0,2,2,0,"Director, secretary  breakroom w solar system equipment. Tiny waiting area in small entry corridor. Health office remote in building   Health has sink and therapy and used for SPED . size462 sf ( 21 x 2).  No ground level rooms accessible due to the 2"" high steps at entries to keep water out, and gates with doors with slide bolts.",1,0,0,0,2,0,0,"Media center being used as storage 621 sf (23 x 27). Jalosie  louver openings typically. All doors with gates and solid doors with slide bolts. Not accessible  2"" steps at entries to keep water out. Covered outdoor BB court  5400 sf (60' x 90') with one 3-tier by 16' tip-and-roll bleacher unit, and single bench seating. Cafeteria 1100 sf (50' x 22') including the kitchen equipment.  Good standard tables and chairs.  4 shifts served, but also includes BB court for capacity. Also has storage (locked) and toilet for staff.",0.25,0,0,0,Art room 368 sf (16 x 23).  Standard tables and chairs.  ,0.285714,0,0,0,0,4,0,0,0,0,0,0,0,21300,384,30,PK K 1 2 3 4 5 6 7 8 9 10 11 12,Pre k - 6 at this location.,Jeff Peterson ,2/15/2022,SAN JUAN,????,0,0,2,4,0,"Front entry faces street, parking is inside courtyard between buildings, so no sight line, and accessed from side street.  Community engagement with displays and  murals, and the tight cramped spaces seemed to increase connections.",1.2,0,0,JUAN PONCE DE LEON,75879
76257-EAQ-NUEVA ESCUELA SU ANTONIO RIVERA.pdf,0,0,0,0,0,0,0,2,"Outdoor learning at courtyard shelter, gym roof is leaking, connecting 2 stories by non-ADA ramp",0.363636,2,2,2,2,0,0,0,2,Theater/stage has operable partition,1,2,2,0,0,"Typical PR desk, no student lockers",1,0,2,0,"Classroom: 24x30, lockers for class materials, no student or teacher storage",1,2,0,2,2,2,2,0,"SPED: 29x36, lockers for class supplies, ADL teacher using typical classroom for ADL program",1.428571,2,2,0,Science: 24x30,1.142857,0,0,2,2,0,0,2,2,2,0,"Large staff meetings - use library, small=principal office, 1 nurse office, 1 principal, 3 offices",1,0,2,0,2,0,2,"Library: 48x29, no librarian, cafeteria: 53x29, has multipurpose room (theater/performance) with stage - divided by metal partition - dimension: 30x36 other room 24x30, gym: 57x102 - basketball court with leaking roof, not enough electrical capacity to run more than lights at court",1,2,0,0,Fitness/play room: 30x24,0.857143,0,2,2,0,0,2,0,2,0,0,2,2,53100,175,35,K 1 2 3 4 5 6 7 8      EEI,Enter Text,Tianyu Zhang,2/10/2022,BAYAMON,Enter Text,0,2,2,0,2,"Wire mesh fence, iron picket fence",1.2,0,0,NUEVA ESCUELA SU ANTONIO RIVERA,76257
77461-EAQ-INT BO QUEBRADA ARENAS.pdf,2,0,4,2,4,2,0,2,"No playgrounds, no presentation except gym. Rooms at 2nd floor have connection through 8' sliding doors (not used); opening not big enough for 2 classes to see presentation or lecture together. Breakout area upstairs open to sky - no furniture or writing surfaces. ",2,4,4,0,4,2,0,0,0,Has sunshade. Lighting new but little choice. No acoustic treatments. Very little display of any kind outside of rooms ,1.8,2,2,0,2,"Mix of new tables/ chairs & old tablet arms, especially in small rooms with lots of kids ",1.5,2,2,4,"Kinder 26'4"" 42'7"" & 32'x 28'7"", regular classrooms = 28' x 28'7"" (800 nsf - too small for # of kids); also many 1/2 classrooms used for a full class of 25-30. Generally not many outlets  but have wifi.,very few interactive white boards .",2,0,4,2,2,2,2,4,"Small half classrooms used as regular classrooms  No self contained program but have a room designed for it (2 bays = 28 x 28'7"" + storage rm). Power is okay  but very little technology (smart boards).,",2.285714,4,2,4,"Industrial Arts room used as library (has eye wash, sink & storage)= 56'x28'-7"", 27'7"" x 42'5. Very little power except at sinks & no smart boards  5 sinks including HC station. Technology classroom used as infirmary = 55'5"" including storage.. some rooms have two walls with whiteboard but others only one. Largest tech room had very few for size& purpose of room (it was being used as infirmary )",2.571429,0,0,0,2,4,2,4,4,0,0,"One room, no privacy for health;  moved it up stairs to tech room. No conference room.,",2.333333,0,2,2,4,4,2,"Library a bit small  no small group or different seating. Gym has stage & bleachers + classrooms & bathrooms. Gym is remote but accessible from street with separate small courtyard entry. No technology or sound at stage, but stage has a small backstage ",2.25,0,2,4,"Music 28' x 28'7"" not in use because of moisture & no instructor - regular classroom ",1.142857,4,0,0,4,0,0,4,0,4,0,2,2,94110,723,41,K 1 2 3 4 5 6 7 8      EEI,Enter Text,Jana Silsby ,2/16/2022,BAYAMON,Enter Text,4,2,4,2,4,"Site is very tight on side of hill & close to road. No signage, very little customization or decorations to make it their own. Building design is good.",3.2,4,2,INT BO QUEBRADA ARENAS,77461
77552-EAQ-PAPA JUAN XXIII.pdf,0,0,0,4,4,0,2,2,"Spaces could have been combined for lg grip, but wasn't used. Bleachers in gym for all school. Had outdoor gazebo & had gardening area. Could present in drama rooms, but not spontaneous areas.",1.272727,0,0,0,2,2,0,0,0,"Had areas that used to be movable  Broken . Spaces too small to move around but did see evidence of different furniture arrangements ,",0.6,0,2,0,0,Add notes,0.5,0,2,0,"24' x 26' very small rooms for 30; white bds, not many interactive boards. Note: Reg classrooms do not need sinks, so 2 given to up average ",1,4,0,2,2,4,2,0,"Only one self contained - 2 room suite: one room for education & one for life skills. Equipment in room  could use storage. No testing, sm group or other conference rooms.",2,2,2,0,"24' x 26' = MS, 24' x 38' = HS too small, MS rooms typically don't have sinks  some HS rooms don't have sinks . No HC  station & thresholds are an issue ",1.142857,0,0,2,0,4,2,0,2,2,0,Add notes,1.666667,0,0,0,0,4,0,Saw computer lab but not library .,0.5,0,2,0,"Music/drama in 3 bay room  40' long. Not HC Accessible  platform. No acoustics for music  no instruments. Art has sink,",0.571429,0,0,0,0,2,0,2,2,0,0,2,2,81495,670,32,6 7 8 9 10 11 12,Enter Text,Jana Silsby ,2/10/2022,BAYAMON,Enter Text,2,0,4,0,2,"Secure but razor wire, not welcoming .",1.6,0,2,PAPA JUAN XXIII,77552
