,LearningCommArea_LGI,LearningCommArea_IndependentStudy,LearningCommArea_SGI,LearningCommArea_SelfContainedClassrooms,LearningCommArea_Community,LearningCommArea_BreakoutAreas,LearningCommArea_PresentationAreas,LearningCommArea_OutdoorLearning,LearningCommArea_Section Notes,LearningCommArea_AvgRating,EduIEQ_Stimulating,EduIEQ_SafeHealthy,EduIEQ_ViewsConnect,EduIEQ_Daylight,EduIEQ_Lighting,EduIEQ_Acoustics,EduIEQ_MoveExplore,EduIEQ_Adaptability,EduIEQ_Section Notes,EduIEQ_AvgRating,IEQ_Furn_Design,IEQ_Furn_Flexibility,IEQ_Furn_VarietySeating,IEQ_Furn_Movement,IEQ_Furn_Section Notes,IEQ_Furn_AvgRating,Instructional_Regular_Size,Instructional_Regular_StorageMat,Instructional_Regular_Accessibility,Instructional_Regular_Section Notes,Instructional_Regular_AvgRating,Instructional_SPED_Size,Instructional_SPED_AppSupportspace,Instructional_SPED_StorageMat,Instructional_SPED_Techpower,Instructional_SPED_sink,Instructional_SPED_writeablesurface,Instructional_SPED_accessibility,Instructional_SPED_Section Notes,Instructional_SPED_AvgRating,Instructional_SciAPLCTE_sink,Instructional_SciAPLCTE_writeablesurface,Instructional_SciAPLCTE_accessibility,Instructional_SciAPLCTE_Section Notes,Instructional_SciAPLCTE_AvgRating,Instructional_Visual&Fitness_size,Instructional_Visual&Fitness_supportspace,Instructional_Visual&Fitness_storagemat,Instructional_Visual&Fitness_techpower,Admin&Health_Accessibility,Admin&Health_Mailcopy,Admin&Health_Reception,Admin&Health_adminoffice,Admin&Health_healthoffice,Admin&Health_confroom,Admin&Health_Section Notes,Admin&Health_AvgRating,Public_displaystudentwork,Public_storageforequipment,Public_mediacenter,Public_cafeteria,Public_gym,Public_auditorium,Public_Section Notes,Public_AvgRating,Instructional_Visual&Fitness_sink,Instructional_Visual&Fitness_writeablesurf,Instructional_Visual&Fitness_accessibility,Instructional_Visual&Fitness_Section Notes,Instructional_Visual&Fitness_AvgRating,Public_accessibility,Public_techpower,LearningCommArea_Playground,EduIEQ_UniversalDesign,EduIEQ_DisplayofWork,Instructional_Regular_Techpower,Instructional_Regular_Sink,Instructional_Regular_eboard,Instructional_SciAPLCTE_size,Instructional_SciAPLCTE_supportspace,Instructional_SciAPLCTE_storagemat,Instructional_SciAPLCTE_techpower,Header_bldgsqft,Header_enrolment,Header_numclassroom,Header_grades,Header_campustypology,Header_assessname,Header_assessdate,Headerr_region,Header_reconfig,Security_entry,Security_bldgsecurity,Security_sitesecurity,Security_identity,Security_wayfinding,Security_Section Notes,Security_AvgRating,LearningCommArea_Differentiated,LearningCommArea_PBL,Header_Schoolname,Header_code
71639-EAQ-DELIA DAVILA DE CABAN.pdf,4,2,4,4,2,0,0,2,Add notes,2.363636,0,4,0,0,2,0,0,0,Add notes,1,2,2,4,2,Add notes,2.5,2,2,2,Add notes,2.333333,4,2,2,4,4,2,2,Add notes,2.857143,0,0,0,Add notes NONE AVAILABLE,0,0,0,0,0,2,2,0,0,2,0,Add notes,1,2,0,4,4,4,0,Add notes,2.25,0,0,0,Add notes,0,0,4,2,2,2,4,0,4,0,0,0,0,22628,221,16,PK K 1 2 3 4 5,Enter Text,MARK KIRBY,2/11/2022,BAYAMON,Enter Text,4,4,2,2,0,Add notes,2.4,4,2,DELIA DAVILA DE CABAN,71639
71647-EAQ-DR EFRAIN SANCHEZ HIDALGO.pdf,2,0,0,0,2,0,2,2,Add notes,0.909091,0,2,0,0,2,2,0,0,Add notes,1,2,0,0,0,Add notes,0.5,4,0,0,"Add notes Tech infrastructure exist, all cables cut during reroofing project. ",1.333333,2,0,0,4,0,0,2,Add notes,1.142857,0,0,0,Add notes,0,2,0,0,2,2,2,2,2,4,2,Add notes,2.333333,2,0,2,2,0,2,Add notes,1.5,0,2,2,Add notes,1.142857,2,2,2,2,2,4,0,0,0,0,0,0,42504,349,22,K 1 2 3 4 5        EEE,Enter Text,MARK KIRBY,2/11/2022,BAYAMON,Enter Text,2,4,2,2,2,Add notes,2.4,0,0,DR EFRAIN SANCHEZ HIDALGO,71647
71654-EAQ-BASILIO MILAN HERNANDEZ.pdf,4,0,2,4,4,2,2,2,Add notes,2.909091,4,2,4,4,2,2,4,4,Add notes,3.2,2,2,2,2,Add notes,2,2,0,2,Add notes,1.666667,4,4,2,4,2,2,4,Add notes,3.142857,4,4,2,Add notes none currently being used. Several spaces have utilities,2.571429,4,2,2,4,4,4,2,4,2,2,Add notes,3,2,2,4,2,4,0,Add notes,2.75,2,2,0,Add notes,2.285714,4,4,4,4,2,4,0,2,2,2,0,4,,429,23,6 7 8      EEI,Enter Text,Mark Kirby,2/11/2022,BAYAMON,Enter Text,4,4,2,4,2,Add notes,3.2,4,4,BASILIO MILAN HERNANDEZ,71654
71662-EAQ-CARMEN BARROSO MORALES.pdf,2,2,0,0,4,0,0,2,Add notes,1.636364,2,2,0,0,2,2,0,0,Add notes,1.2,2,2,0,0,Add notes,1,2,0,2,Add notes,1.666667,2,0,0,4,0,2,2,Add notes,1.428571,0,0,0,Add notes,0,0,0,0,0,2,4,2,0,4,0,Add notes,2,2,2,2,2,4,0,Add notes spaces Are small,2.25,0,0,0,Add notes,0,4,2,4,2,2,4,0,2,0,0,0,0,19356,258,17,K 1 2 3 4 5,Enter Text,Mark Kirby,2/11/2022,BAYAMON,Enter Text,4,4,2,2,2,Add notes,2.8,2,2,CARMEN BARROSO MORALES,71662
71670-EAQ-DR PEDRO ALBIZU CAMPOS.pdf,2,2,2,4,0,4,0,2,Add notes,1.818182,0,2,0,0,2,2,2,2,Add notes,1.6,4,2,2,2,Add notes,2.5,2,0,0,Add notes no elevator or ramp,1.666667,2,2,0,4,0,2,0,Add notes SPED is located second floor and remote from the rest of the campus,1.428571,0,0,0,"Add notes sinks in classrooms do not function, no elevator, no ramp, 3 stories",0.857143,0,0,0,0,2,2,2,2,2,2,Add notes,2,0,0,4,0,0,0,"Add notes Library only, dinning and cafeteria shut permanently ",1,0,0,0,Add notes no performing arts ,0,0,4,0,4,2,4,2,2,2,0,0,4,106100,599,47,9 10 11 12,Enter Text,Mark Kirby,2/11/2022,BAYAMON,Enter Text,4,4,4,2,0,Add notes,2.8,2,2,DR PEDRO ALBIZU CAMPOS,71670
71704-EAQ-FRANCISCA DAVILA SEMPRIT.pdf,0,0,0,0,0,0,0,2,"Has playground eqmt but it's in bad shape, small outdoor learning area with roof",0.181818,0,2,2,2,0,0,0,0,Lift is provided.,0.6,2,2,0,0,Add notes,1,0,2,2,"Classroom: 24x29, Kindergarten  25x42",1.333333,2,0,2,2,0,2,2,SPED Classroom: 42x20,1.428571,0,2,2,"No science room, has technology room: 24x36, computer classroom: 25x30",0.571429,0,0,0,0,2,2,0,0,2,0,"1 nurse office w/storage, 1 principal office, lift provided at main entrance, use reception area as pull-out space when needed.",1,0,2,0,2,0,0,"Library: 80x25, insufficient outlet,  need to use cord extension,cafeteria: 30x50 - kitchen + storage is just as big, has exterior basketball court - not in use - doesn't appear functional - see photos ~60x90",0.5,0,0,0,Has PE classroom - can't access,0,0,0,0,0,0,2,0,2,0,0,0,0,96920,293,44,K 1 2 3 4 5 6 7 8      EEI,Enter Text,Tianyu Zhang,2/11/2022,BAYAMON,Enter Text,0,2,2,2,0,Iron picket fence,1.2,0,0,FRANCISCA DAVILA SEMPRIT,71704
72082-EAQ-MANUEL MARTINEZ DAVILA.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,32986,545,30,K 1 2 3 4 5 6 7 8     EEE EEI,Enter Text,,,ARECIBO,Enter Text,0,0,0,0,0,Add notes,0,0,0,MANUEL MARTINEZ DAVILA,72082
73650-EAQ-PEDRO P CASABLANCA.pdf,2,0,4,4,0,0,2,2,"Presentation platform exists but not used. Has outdoor project area, gazebo & potential for more outdoor learning in courtyard .",1.454545,2,2,0,4,0,0,0,2,Small size & courtyard configuration makes views to stair & bathrooms better than others. HC access not bad except hardware & some bathrooms. Movable wall at 2nd floor not used.,1.4,2,2,0,0,Some of the rooms have 2 person tables .,1,0,2,4,24' x 30'. Very nice campus courtyard & all rooms face it. None of the smart boards work. Some teachers have purchased projectors on their own.,1.666667,2,2,2,2,2,2,2,"Life skills = 3 bays, 6 half classrooms for sped= 12, x 30'",2,2,2,2,"32'x30', had power at each cabinet with sink to plug in tables  not sure if they work . No HC sink",2.285714,0,0,2,2,4,0,2,2,0,0,"Health office Size is ok since it is in an un-used classroom  but no privacy or separation or RR.,",1.333333,2,0,2,2,0,0,"Display is with tape on papered areas, no actual tack surface. Student body so small, cafe ok size, & library not too terribly small.",1.25,0,2,2,"Have 1 bay as platform stage w/moveable walls: + 2 bay + 2 bay + 2 bay. Art room: no sink, very small & not enough storage. Next to ""connected"" rooms, so could be expanded",1.142857,2,2,0,2,2,2,0,2,2,2,2,4,33600,220,15,7 8 9 10 11 12   EES,Enter Text,Jana Silsby ,2/10/2022,BAYAMON,Enter Text,4,0,2,2,4,Small drop off & canopy at front. Not sure of perimeter fence up the hill. Courtyard campus easy to understand. Very small for a high school .,2.4,2,0,PEDRO P CASABLANCA,73650
73668-EAQ-MERCEDES GARCIA DE COLORADO.pdf,2,0,0,0,2,0,0,2,"Operable wood partition between some classrooms, outdoor learning available at corridor in front of library, share basketball court with community   ",0.727273,2,2,2,2,0,2,0,0,ETC classrooms for baking,1.2,2,2,0,0,"Typical PR desk, no student storage ",1,2,2,2,Classroom: 24x29,1.666667,2,0,2,2,0,2,2,"29x24 SPED classroom, wood partition separating SPED and autism classroom",1.428571,2,2,0,"CTE classroom - exhaust fan into walkway ~7' AFF - 29x36, tech room: 29x36, science classroom (no lab): 29x32",0.857143,0,0,2,2,2,2,2,2,2,0,"1 principal office, 1 nurse office, 1 psychologists office, 2 social worker offices",1.666667,2,2,2,2,0,0,"Library: 29x84 - library contains computer lab, cafeteria: 29x60 - refrigerator/freezer, kitchen hood exhaust, basketball court - lighting, holes in metal roof above court, cafeteria serving 120-150 student in shift",1.5,0,2,2,"Art classroom: 24x29, fitness classroom: 24x29, 1 sink in art classroom",1.142857,2,2,2,0,2,2,0,2,0,0,2,0,46080,259,21,6 7 8      EEI,Enter Text,Tianyu Zhang,2/12/2022,BAYAMON,Enter Text,0,2,2,2,2,Wire mesh fence and iron picket fence ,1.6,0,0,MERCEDES GARCIA DE COLORADO,73668
73890-EAQ-MARIA C OSORIO.pdf,2,0,0,0,0,0,0,2,PE classroom can be divided into two classrooms. Has a gym ,0.545455,0,2,0,0,0,0,0,0,Add notes,0.4,2,2,0,0,Add notes,1,2,2,2,30'x24' ,2,4,0,2,2,2,2,0,30'x25',1.714286,0,0,0,Add notes,0,2,2,2,0,2,2,2,2,4,0,"2 offices. Nurse office has two isolation rooms, ada bathroom, storage",2,0,2,0,4,2,0,"Exterior gym with bleachers, cafeteria 60'x30' 120 students at a time.   Minimal storage ",1.5,2,2,0,Has gym and pe classroom. ,1.428571,2,2,2,0,2,2,2,2,0,0,0,0,61895,386,48,K 1 2 3 4 5        EEE,Enter Text,Devin Brown,2/11/2022,BAYAMON,Enter Text,0,2,4,0,2,,1.6,0,0,MARIA C OSORIO,73890
