,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
1240,9820 madison ave south gate ca 90280,9820 madison avenue south gate ca 90280,0.9476293737070566,30700,30700,LAUSD-South Gate New ES #6,Contract,D,Academic,MADISON ELEMENTARY,611,56411.0,92.32569558101473
864,500 sunset dr jordan mn 55352,500 sunset drive jordan mn 55352,0.9476283492157952,70791,70791,Jordan MS Additions & Remodeling,Contract,D,Middle School,JORDAN MIDDLE,642,168815.0,262.95171339563865
66,10325 south 188th street omaha ne 68136,10325 s 188th street omaha ne 68136,0.9475631551012329,68232,68232,Gretna New Elementary Sch (Site Adapt),Master Contract,D,Elementary School,ASPEN CREEK ELEMENTARY SCHOOL,630,73625.0,116.86507936507937
133,1155 sw cherry st ankeny ia 50023,1155 sw cherry street ankeny ia 50023,0.947434064858659,8186,8186,Ankeny  High School,Master Contract,D,High School,ANKENY HIGH SCHOOL,1284,275000.0,214.17445482866043
308,1645 w mcdowell rd phoenix az 85007,1645 west mcdowell road phoenix az 85007,0.947329772796843,16147,16147,PUHSD Franklin Police & Fire HS SD-CS,Contract,D,High School,FRANKLIN POLICE AND FIRE HIGH SCHOOL,288,15000.0,52.083333333333336
875,502 48th st fort madison ia 52627,502 48th street fort madison ia 52627,0.947238122596713,90903,90903,Ft. Madison New PK-3 Elementary School,Contract,I,Elementary School,FORT MADISON MIDDLE SCHOOL,677,111000.0,163.9586410635155
878,502 48th st fort madison ia 52627,502 48th street fort madison ia 52627,0.947238122596713,90877,90877,Ft. Madison New PK-3 Elementary School,Contract,I,Elementary School,FORT MADISON MIDDLE SCHOOL,677,111000.0,163.9586410635155
877,502 48th st fort madison ia 52627,502 48th street fort madison ia 52627,0.947238122596713,90904,90904,Ft. Madison New PK-3 Elementary School,Contract,I,Elementary School,FORT MADISON MIDDLE SCHOOL,677,111000.0,163.9586410635155
876,502 48th st fort madison ia 52627,502 48th street fort madison ia 52627,0.947238122596713,90905,90905,Ft. Madison New PK-3 Elementary School,Contract,I,Elementary School,FORT MADISON MIDDLE SCHOOL,677,111000.0,163.9586410635155
874,502 48th st fort madison ia 52627,502 48th street fort madison ia 52627,0.947238122596713,89118,89118,Ft. Madison New PK-3 Elementary School,Contract,I,Elementary School,FORT MADISON MIDDLE SCHOOL,677,111000.0,163.9586410635155
271,1500 n scovel st tempe az 85281,1500 n scovel street tempe az 85281,0.9467029556881243,80801,80801,Tempe ESD Laird K-8 School,Contract,I,Elementary School,LAIRD ELEMENTARY SCHOOL,555,74000.0,133.33333333333334
767,4114 madison st elk horn ia 51531,4114 madison street elk horn ia 51531,0.946484872293717,6110,6110,"Elk Horn-Kimballton, IA CSD",,D,,EXIRAELK HORN-KIMBALLTON HIGH SCHOOL,212,21007.0,99.08962264150944
12,1 school road heart butte mt 59448,heart butte school road heart butte mt 59448,0.946066200736751,13051,13051,Heart Butte High School,,D,,HEART BUTTE ELEMENTARY,99,36410.0,367.77777777777777
817,4500 happy jack road cheyenne wy 82001,4500 happy jack road cheyenne wy,0.9459739019255254,13205,13205,LCSD #1 New Comp. HS LEED Design,Master Contract,D,,FREEDOM ELEMENTARY,400,228000.0,570.0
1089,7740 34th ave sw seattle wa 98126,7740 34th avenue sw seattle wa 98126,0.9458781028467258,81738,81738,E C Hughes Elementary School,Contract,I,Elementary School,ROXHILL ELEMENTARY SCHOOL,300,45441.0,151.47
1001,6768 alexandria pl  stockton ca 95207,6768 alexandria place stockton ca 95207,0.9455333910369565,30137,30137,Lincoln USD Sierra Middle Sch Library,,D,Academic,SIERRA MIDDLE,639,5336.0,8.35054773082942
48,1010 nw prairie ridge dr ankeny ia 50023,1010 nw  prairie ridge ankeny ia 50021,0.9455237739812281,7981,7981,Northview Middle School Addition,Contract,D,,PRAIRIE RIDGE MIDDLE SCHOOL,977,26000.0,26.61207778915046
312,1700 1st ave sw worthington mn 56187,1700 1st avenue sw worthington mn 56187,0.945365134947753,24169,24169,Worthington Elem School-New Facility,,D,Elementary School,PRAIRIE ELEMENTARY,1228,153640.0,125.11400651465799
110,1120 first ave east horton ks 66439,1120 first avenue east horton ks 66439,0.9452244063525099,10304,10304,Horton High School Remodel,,D,,HORTON HIGH,149,45000.0,302.0134228187919
236,1330 e carson dr tempe az 85282,1330 e carson drive tempe az 85282,0.9450583546391742,73557,73557,Tempe ESD Arredondo Elementary,Contract,I,Elementary School,ARREDONDO ELEMENTARY SCHOOL,463,65362.0,141.17062634989202
773,420 butte ave sw madras or 97741,420 butte avenue sw madras or 97741,0.9448733527372675,30032,30032,Metolius Elementary Addition,,D,,METOLIUS ELEMENTARY SCHOOL,288,10500.0,36.458333333333336
231,13210 glenn st omaha ne 68138,13210 glenn street omaha ne 68138,0.9444924910714891,83411,83411,Springfield Platteview Westmont Remod,Contract,D,Elementary School,WESTMONT ELEMENTARY SCHOOL,263,33200.0,126.23574144486692
495,2300 s dixieland rd rogers ar 72758,2300 south dixieland rogers ar 72758,0.9444537934400872,10360,10360,Rogers (Ark.) High School,,D,,ROGERS HIGH SCHOOL,2089,290530.0,139.0761129727142
77,10726 mesa dr houston tx 77078,10726 mesa drive houston tx 77078,0.9443615167483573,65324,65324,"North Forest High School - Houston, TX",Contract,I,High School,NORTH FOREST H S,976,205000.0,210.04098360655738
1111,801 south st gretna ne 68028,801 south street gretna ne 68028,0.9443082371116799,118070,118070,Gretna Elementary Renovation Phase 2,Contract,A,Elementary School,GRETNA ELEMENTARY SCHOOL,531,2720.0,5.12241054613936
661,3333 oak creek drive west colorado springs co 80906,3333 oak creek dr colorado springs co 80906,0.9442293572111485,118584,118584,Oak Creek Elementary School,Contract,A,Academic,OAK CREEK ELEMENTARY SCHOOL,208,54710.0,263.02884615384613
1011,700 swan rd de pere wi 54115,700 swan road de pere wi 54115,0.9440132715662883,24386,24386,DePere Middle School Litigation TRACKING,,D,,DE PERE MIDDLE,654,126000.0,192.6605504587156
1010,700 swan rd de pere wi 54115,700 swan road de pere wi 54115,0.9440132715662883,24240,24240,Depere Middle School,,D,Middle School,DE PERE MIDDLE,654,126000.0,192.6605504587156
49,1010 s 144th st omaha ne 68154,1010 s 144th street omaha ne 68154,0.9437859306322832,4449,4449,Millard North HS 2012 Syn Turf Opt,Contract,D,Athletic Field,MILLARD NORTH HIGH SCHOOL,2614,76173.0,29.140397857689365
1046,715 e 19th st kearney mo 64060,715 e 19th street kearney mo 64060,0.9431578501064896,10310,10310,Kearney Hs-Additions/Remodels,,D,,KEARNEY HIGH,871,25000.0,28.70264064293915
640,3225 w ocotillo rd phoenix az 85017,3225 west ocotillo road phoenix az 85017,0.9431225390561152,16322,16322,Ocotillo Elem School           Po #20054,,D,,OCOTILLO SCHOOL,688,108000.0,156.97674418604652
898,516 w meadowmere springfield mo 65807,516 west meadowmere springfield mo 65802,0.9429502653760654,10909,10909,Parkview High School,,D,,PARKVIEW HIGH,1401,64174.0,45.80585296216988
63,1031 n main st manteca ca 95336,1031 n main street manteca ca 95336,0.9428606380637959,81147,81147,Manteca USD - Golden West Modern.,Contract,D,Elementary School,GOLDEN WEST ELEMENTARY,536,66783.0,124.59514925373135
319,1701 lay st des moines ia 50317,1701 lay street des moines ia 50317,0.9420795140237083,65300,65300,Phillips ES Classroom Addition,Contract,D,Elementary School,PHILLIPS ELEMENTARY,325,4270.0,13.138461538461538
1228,94455 farrington hwy waipahu hi 96797,94455 farrington hwy waipahu  oahu hi 96797,0.9419756525867279,14709,14709,"Waipahu Intermediate ""Dreams"" Bldg",Contract,A,Middle School,WAIPAHU INTERMEDIATE SCHOOL,1349,30000.0,22.23869532987398
202,130 s willow street belle plaine mn 56011,130 south willow street belle plaine mn 56011,0.9418104286371393,21761,21761,Belle Plaine JR/SR High A/E,Contract,D,High School,BELLE PLAINE TRANSITIONS/WORK EXPER,15,39000.0,2600.0
38,1005 duke dr york ne 68467,1005 duke drive york ne 68467,0.9416983749264799,5275,5275,York High School Remodel Pre Bond,Contract,D,High School,YORK HIGH SCHOOL,455,115000.0,252.74725274725276
39,1005 duke dr york ne 68467,1005 duke drive york ne 68467,0.9416983749264799,5271,5271,York High School Addition and Remodel,Contract,D,High School,YORK HIGH SCHOOL,455,50000.0,109.89010989010988
887,505 n trussell ave moravia ia 52571,505 n trussel avenue moravia ia 52571,0.9413401895745447,8882,8882,Moravia Pre-K 12 Building Additions,Contract,D,Academic,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
888,505 n trussell ave moravia ia 52571,505 n trussel avenue moravia ia 52571,0.9413401895745447,71617,71617,Moravia Pre-K 12 Building Additions,Contract,D,,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
889,505 n trussell ave moravia ia 52571,505 n trussel avenue moravia ia 52571,0.9413401895745447,71616,71616,Moravia Pre-K 12 Building Additions,Contract,D,,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
41,101 knight ave s thief river falls mn 56701,1st & knight thief river falls mn 56701,0.9408466199587472,23901,23901,Lincoln Senior High School Addition,,D,High School,LINCOLN SENIOR HIGH,586,52000.0,88.73720136518772
68,1035 15th st nevada ia 50201,1035 15th street nevada ia 50201,0.9406730120023827,8387,8387,Nevada CSD Auditorium Addition,Contract,D,High School,NEVADA MIDDLE SCHOOL,464,18000.0,38.793103448275865
930,5800 king ave maywood ca 90270,5800 king avenue maywood ca 90270,0.9406461972892067,31663,31663,LAUSD - South Region High School #8 *,Contract,I,Academic,MAYWOOD CENTER FOR ENRICHED STUDIES,1355,203035.0,149.84132841328415
645,327 s west st emporia ks 66801,327 s west street emporia ks 66801,0.9404949845583804,9207,9207,Emporia Riverside Elementary,,D,,RIVERSIDE ELEMENTARY,434,56989.0,131.3110599078341
247,13930 ne 6th st alleman ia 50007,13930 ne 6th street alleman ia 50007,0.9400173844907154,8106,8106,North Polk New High School,Revised Contract,D,High School,NORTH POLK HIGH SCHOOL,515,129000.0,250.48543689320388
587,301 17th st sw austin mn 55912,301 17th street  sw  austin mn 55912,0.9398811412765599,23894,23894,Banfield Elementary Addition & Remodel,,D,,BANFIELD ELEMENTARY,422,63000.0,149.28909952606634
1131,819 n 16th st denison ia 51442,819 n 16th street denison ia 51442,0.939793487163956,8025,8025,Denison CSD Bus Barn,Contract,D,Parking,DENISON HIGH SCHOOL,780,23500.0,30.128205128205128
1177,8800 w 85th st shawnee mission ks 66212,8800 west 85th street shawnee mission ks 66212,0.9397615896118103,10300,10300,Sm West High School            Po 763238,,D,High School,SHAWNEE MISSION WEST HIGH,1654,230000.0,139.05683192261185
557,27847 42nd av s auburn wa 98001,27847 42nd avenue s auburn wa 98001,0.939301942876299,27340,27340,Federal Way Sch Dist-Valhalla Elem,Revised Contract,D,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
556,27847 42nd av s auburn wa 98001,27847 42nd avenue s auburn wa 98001,0.939301942876299,27342,27342,Federal Way Sch Dist-Valhalla Elem,Revised Contract,D,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
555,27847 42nd av s auburn wa 98001,27847 42nd avenue s auburn wa 98001,0.939301942876299,27339,27339,Federal Way Sch Dist-Valhalla Elem    +,Revised Contract,D,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
30,1001 15th st nevada ia 50201,1001 15th street nevada ia 50201,0.9392460630200736,82840,82840,Nevada HS - Ind. Tech & Agricultural Imp,Contract,D,High School,NEVADA HIGH SCHOOL,464,5760.0,12.413793103448276
870,501 edgewood avenue trenton nj 8618,edgewood avenue trenton nj 08618,0.9388810142178844,25477,25477,New Cadwalader PreK-8 Center           N,No Contract,D,,DAYLIGHT/TWILIGHT HIGH SCHOOL,891,148656.0,166.84175084175084
255,1406 n central ave avondale az 85323,1406 north central avondale az 85323,0.9387095770852556,16243,16243,Avondale Junior High School,,D,,AVONDALE MIDDLE SCHOOL,418,71970.0,172.17703349282297
694,35827 32nd av s auburn wa 98001,35827 32nd avenue s auburn wa 98001,0.9385766680068368,27404,27404,Federal Way Sch Dist-Lakeland Elem     +,Revised Contract,D,Elementary School,LAKELAND ELEMENTARY SCHOOL,427,44703.0,104.69086651053864
522,2501 park ave des moines ia 50321,2501 park avenue des moines ia 50321,0.938518496309547,86772,86772,Brody Middle School Addition & Renov,Contract,I,Middle School,BRODY MIDDLE SCHOOL,729,7900.0,10.83676268861454
1166,833 e mesquite ave palm springs ca 92264,833 east mesquite road palm springs ca 92264,0.9381689149379587,31797,31797,PSUSD - Cahuilla ES #2 Relocation,,D,Academic,CAHUILLA ELEMENTARY,483,43000.0,89.02691511387164
837,4827 n country club dr scottsdale az 85256,4827 north country club drive scottsdale az 85256,0.9380107256372167,13641,13641,SRP-MIC New High School,,D,High School,SALT RIVER HIGH SCHOOL,208,135565.0,651.7548076923077
230,1320 nw 75 st seattle wa 98117,1320 nw 75 street seattle wa 98117,0.9374050889645804,28484,28484,Seattle SD- Whittier Elementary,,D,,WHITTIER ELEMENTARY SCHOOL,444,66030.0,148.71621621621622
158,121 hampel rd moscow mills mo 63362,moscow mills 121 hampel road moscow mills mo 63362,0.9370217997172168,11074,11074,William Cappel Elementary Additions,Contract,D,,WM. R. CAPPEL ELEM.,525,90000.0,171.42857142857142
524,25211 south 68 street firth ne 68358,25211 south 68th street firth ne 68358,0.9367739456573966,5541,5541,Norris HS Fitness Room  N,No Contract,D,High School,NORRIS INTERMEDIATE SCHOOL,579,5100.0,8.808290155440414
526,25211 south 68 street firth ne 68358,25211 south 68th street firth ne 68358,0.9367739456573966,5542,5542,Norris HS Fitness Room,No Contract,D,High School,NORRIS INTERMEDIATE SCHOOL,579,5100.0,8.808290155440414
525,25211 south 68 street firth ne 68358,25211 south 68th street firth ne 68358,0.9367739456573966,2772,2772,"Norris-Firth, NE Elementary Sch Addn",,D,,NORRIS INTERMEDIATE SCHOOL,579,18000.0,31.088082901554404
1062,7500 e civic cir prescott valley az 86314,7500 civic circle prescott valley az 86314,0.9366245582577555,15771,15771,AAEC Charter H.S. Prescott Valley,Notice to Proceed,D,High School,ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - PRESCOTT VALLEY,298,33363.0,111.95637583892618
928,575 west roosevelt baton rouge la 70802,575 w roosevelt street baton rouge la 70802,0.9366129641225338,118143,118143,New University Terrace Elementary School,Notice to Proceed,A,Academic,UNIVERSITY TERRACE ELEMENTARY SCHOOL,356,93000.0,261.23595505617976
1189,900 school st elk river mn 55330,900 school street elk river mn 55330,0.936036656856765,20872,20872,Elk River High School Addition,,D,High School,ELK RIVER SENIOR HIGH,1738,60000.0,34.52243958573072
464,2200 state st granger ia 50109,2200 state street granger ia 50109,0.9359235211738264,69563,69563,Woodward-Granger ELC Roof Replacement,Contract,D,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,28330.0,88.25545171339564
463,2200 state st granger ia 50109,2200 state street granger ia 50109,0.9359235211738264,73155,73155,Woodward-Granger Existing ES Renovations,Contract,D,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,23660.0,73.70716510903426
963,620 sw 4th st forest lake mn 55025,200 4th st sw forest lake mn 55025,0.9355635474484583,21045,21045,Central Learning Center Renovation,,D,,FOREST VIEW ELEMENTARY,422,179000.0,424.1706161137441
611,3111 n 10th st marion ia 52302,3111 n 10th street marion ia 52302,0.9351974295704369,81252,81252,Linn-Mar HS Add & Reno Ph 2-Post Const,Contract,D,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
610,3111 n 10th st marion ia 52302,3111 n 10th street marion ia 52302,0.9351974295704369,81253,81253,Linn-Mar HS Add & Reno Ph 2-Post Const,Contract,D,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
609,3111 n 10th st marion ia 52302,3111 n 10th street marion ia 52302,0.9351974295704369,81254,81254,Linn-Mar HS Add & Reno Ph 2-Post Const,Contract,D,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
608,3111 n 10th st marion ia 52302,3111 n 10th street marion ia 52302,0.9351974295704369,81244,81244,Linn-Mar HS Add & Reno Ph 2-Post Const,Contract,D,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
607,3111 n 10th st marion ia 52302,3111 n 10th street marion ia 52302,0.9351974295704369,66856,66856,Linn-Mar High School-Kitchen Renovation,Contract,D,High School,LINN-MAR HIGH SCHOOL,2226,3340.0,1.5004492362982929
78,10750 thunder mountain avenue colorado springs co 80908,10750 thunder mountain avenue colorado springs co 80920,0.9346416285128242,19338,19338,Pine Creek High School Addition,,D,High School,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
79,10750 thunder mountain avenue colorado springs co 80908,10750 thunder mountain avenue colorado springs co 80920,0.9346416285128242,20496,20496,Academy High School #5,,D,,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
739,3997 e lockwood dr phoenix az 85050,3997 east lockwood drive phoenix az 85050,0.9345262170421837,14036,14036,PVUSD Elem. #31,Contract,D,Elementary School,WILDFIRE ELEMENTARY SCHOOL,687,67000.0,97.5254730713246
1018,701 crown hill rd excelsior springs mo 64024,701 crown hill rd po box 248 excelsior springs mo 64024,0.9342782941775769,10407,10407,Excelsior Springs Middle Sch Humid -Trkg,,D,,EXCELSIOR SPRINGS MIDDLE,639,98000.0,153.36463223787166
1093,7801 n hws cleveland blvd bennington ne 68007,7801 n hws cleveland blvd bennington ne,0.9340523045238319,3899,3899,Bennington New Elementary School,Contract,D,Elementary School,PINE CREEK ELEMENTARY,492,62500.0,127.03252032520325
714,3725 e love cactus drive phoenix az 85050,3725 e lone cactus drive phoenix az 85050,0.933141092607511,15779,15779,PVUSD Elementary School #32,Contract,D,Elementary School,FIRESIDE ELEMENTARY SCHOOL,826,88664.0,107.34140435835351
74,105 nw pleasant st ankeny ia 50023,105 nw  pleasant ankeny ia 50021,0.9324827485873679,7974,7974,Parkview Middle School Additions,Contract,D,,PARKVIEW MIDDLE SCHOOL,916,24830.0,27.106986899563317
584,3000 n dysart rd avondale az 85392,3400 n dysart rd avondale az 85392,0.9324532221214978,15578,15578,AAEC Coronado Plaza T.I.,Contract,D,High School,WEST-MEC ESTRELLA MOUNTAIN COMMUNITY COLLEGE,2,23000.0,11500.0
792,4315 e cashman dr phoenix az 85050,4315 east cashman drive phoenix az 85050,0.9321517366149947,16310,16310,Paradise Valley Unified School District ,,D,,DESERT TRAILS ELEMENTARY SCHOOL,611,76761.0,125.63175122749591
866,500 sw tuffy kellog dr topeka ks 66606,500 sw tuffy kellogg drive topeka ks 66606,0.931647549267965,68681,68681,Center for Advanced Learning & Careers,No Contract,D,High School,CAPITAL CITY,79,71213.0,901.4303797468355
883,502 n main st holmen wi 54636,502 north main holmen wi 54636,0.9312746356212466,23898,23898,Oak Grove Elementary School Addition,,D,Elementary School,HOLMEN MIDDLE,886,7200.0,8.126410835214447
249,140 s gilbert rd gilbert az 85296,gilbert az 85296,0.9312536937654645,14176,14176,"Higley Maint, Trans, Warehouse Bldg Site",Contract,D,,GILBERT GLOBAL ACADEMY 7-12,130,18200.0,140.0
662,3333 penn ave n minneapolis mn 55412,3333 penn avenue north minneapolis mn 55412,0.9311629695237628,21026,21026,Lucy Laney Community School,,D,Elementary School,LUCY LANEY @ CLEVELAND PARK ELEM,464,112000.0,241.3793103448276
723,3808 w joan de arc ave phoenix az 85029,3808 west joan d'arc phoenix az 85029,0.9306402999990785,16324,16324,Chaparral Elem Renovation      Po#990288,,D,,CHAPARRAL ELEMENTARY SCHOOL,523,63288.0,121.00956022944551
418,2002 e campbell ave phoenix az 85016,2002 east campbell avenue phoenix az 85016,0.9304769587852927,16298,16298,Madison Elementary School,,D,,MADISON CAMELVIEW ELEMENTARY,617,82880.0,134.32739059967585
155,1201 west cheyenne road colorado springs co 80906,1118 west cheyenne road colorado springs co 80906,0.9302644934424869,19207,19207,Cheyenne Mtn SD-Kitchen & Servery Renov.,,D,,CANON ELEMENTARY SCHOOL,139,1080.0,7.76978417266187
156,1201 west cheyenne road colorado springs co 80906,1118 west cheyenne road colorado springs co 80906,0.9302644934424869,20582,20582,Cheyenne Mountain High School '99 Addns,,D,,CANON ELEMENTARY SCHOOL,139,50000.0,359.71223021582733
842,4901 alburnett rd marion ia 52302,4901 alburnett boad marion ia 52302,0.9297247031398844,8888,8888,Oak Ridge MS Addition,Contract,D,Middle School,OAK RIDGE SCHOOL,828,11600.0,14.009661835748792
841,4901 alburnett rd marion ia 52302,4901 alburnett boad marion ia 52302,0.9297247031398844,73137,73137,Oak Ridge MS Addition,Contract,D,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
843,4901 alburnett rd marion ia 52302,4901 alburnett boad marion ia 52302,0.9297247031398844,73136,73136,Oak Ridge MS Addition,Contract,D,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
415,2001 avenue b fort madison ia 52627,2001 avenue b ft madison ia 52627,0.9297196299154593,85689,85689,Ft. Madison HS-HVAC Improvement Phase 2,Contract,D,High School,FORT MADISON HIGH SCHOOL,567,10745.0,18.950617283950617
120,11256 n 128th st scottsdale az 85259,11256 north 128th street scottsdale az 85259,0.9287848663992259,16263,16263,Mountainside Middle School,,D,,MOUNTAINSIDE MIDDLE SCHOOL,592,152700.0,257.93918918918916
338,1800 south 55th kansas city ks 66106,800 south 55th street kansas city ks 66106,0.9285425294193126,72827,72827,Turner ASC HVAC Improvements,Email Authorization,D,Academic,TURNER ELEM,583,25392.0,43.55403087478559
969,624 n rexford dr beverly hills ca 90210,624 north rexford drive beverly hills ca 90210,0.9284331068876407,35312,35312,BHUSD - Hawthorne School - Modernization,Contract,D,Elementary School,HAWTHORNE ELEMENTARY,609,108892.0,178.80459770114942
140,11931 crooked lake blvd coon rapids mn 55433,11931 crooked lake blvd  coon rapids mn 554331799,0.9282379532280809,21180,21180,AH ISD - Morris Bye Elemetary,,D,,MORRIS BYE ELEMENTARY,483,4380.0,9.06832298136646
790,4309 e belleview street phoenix az 85008,4309 east belleview phoenix az 85008,0.9279095013428225,109005,109005,"Balsz ED, Tillman Middle School Rebuild",Contract,A,Academic,PAT TILLMAN MIDDLE SCHOOL,751,65000.0,86.55126498002663
825,4600 s bright angel way chandler az 85249,4600 south bright angel chandler az 85249,0.927545443382027,14235,14235,Old Stone Ranch K-6 Elementary School,Contract,D,,AUDREY & ROBERT RYAN ELEMENTARY,741,76500.0,103.23886639676114
419,2002 oak st granger ia 50109,2002 oak street granger ia 50109,0.9274202523773909,82968,82968,Woodward-Granger New Elementary School,Contract,D,Elementary School,WOODWARD-GRANGER ELEMENTARY SCHOOL,275,69000.0,250.9090909090909
548,2701 w memorial dr anthem az 85086,2701 west memorial drive anthem az 85086,0.9267326511133995,13780,13780,DVUSD  Elementary #22,Revised Contract,D,,GAVILAN PEAK SCHOOL,687,81114.0,118.06986899563319
37,1001 w stone st fayetteville ar 72701,1001 west stone street fayetteville ar 72701,0.9265318928020487,25226,25226,Fayetteville HS Additions & Renovations,Contract,D,High School,FAYETTEVILLE HIGH SCHOOL EAST,2628,177210.0,67.43150684931507
443,21000 141st ave rogers mn 55374,2100 141st avenue rogers mn 55374,0.9260722876131338,20881,20881,Rogers High School,,D,High School,ROGERS SENIOR HIGH,1617,255000.0,157.69944341372914
1204,910 e washington st phoenix az 85034,910 east washington street phoenix az 85034,0.9260581469872381,16431,16431,Alternative Center For Education,,D,,FAITH NORTH EARLY CHILDHOOD LEARNING CENTER,126,28824.0,228.76190476190476
552,2727 e siesta ln phoenix az 85050,2727 east siesta lane phoenix az 85050,0.92594690999907,16417,16417,Paradise Valley Elementary #28 Po #4897,,D,,SUNSET CANYON SCHOOL,426,76761.0,180.19014084507043
1197,901 h ave milford ia 51351,901 h avenue milford ia 51351,0.9253857539904655,7574,7574,Okoboji High School Gymnasium Add.,Contract,D,,OKOBOJI HIGH SCHOOL,320,31303.0,97.821875
460,21395 goodview ave n forest lake mn 55025,21395 goodview avenue north forest lake mn 55025,0.9248219355688242,21046,21046,Century Jr HS,,D,Middle School,FOREST LAKE AREA MIDDLE SCHOOL,844,171560.0,203.27014218009478
459,21395 goodview ave n forest lake mn 55025,21395 goodview avenue north forest lake mn 55025,0.9248219355688242,66956,66956,Forest Lake Century  Sch Add/Remodeling,Contract,D,Middle School,FOREST LAKE AREA MIDDLE SCHOOL,844,44765.0,53.03909952606635
1238,9709 60 av s seattle wa 98118,9709 60 avenue s seattle wa 98118,0.9247483025302861,26051,26051,Emerson Elem-AutoCad Backgrounds,,D,,EMERSON ELEMENTARY SCHOOL,383,73578.0,192.10966057441254
1224,9330 ne high school rd bainbridge island wa 98110,9530 ne high school rd  bainbridge island wa 98110,0.9247381239315261,26614,26614,Commodore Commons,Contract,D,,BAINBRIDGE HIGH SCHOOL,1369,5400.0,3.944485025566107
1225,9330 ne high school rd bainbridge island wa 98110,9530 ne high school rd  bainbridge island wa 98110,0.9247381239315261,26612,26612,The Commodore Ctr Ph 1-Demo & Renov,Revised Contract,D,,BAINBRIDGE HIGH SCHOOL,1369,34000.0,24.83564645726808
1223,9330 ne high school rd bainbridge island wa 98110,9530 ne high school rd  bainbridge island wa 98110,0.9247381239315261,26613,26613,Commodore Phase II,Revised Contract,D,,BAINBRIDGE HIGH SCHOOL,1369,2500.0,1.8261504747991235
1226,9330 ne high school rd bainbridge island wa 98110,9530 ne high school rd  bainbridge island wa 98110,0.9247381239315261,27604,27604,Commodore Science Remodel,Contract,D,High School,BAINBRIDGE HIGH SCHOOL,1369,1600.0,1.168736303871439
512,2410 girard ave north minneapolis mn 55411,2410 girard avenue n minneapolis mn 55411,0.9244230850316587,23978,23978,NECL - North Star Elementary,,D,Academic,PREKINDERGARTEN NORTH,5,20465.0,4093.0
543,2675 21st st w dickinson nd 58601,2675 21st street west dickinson nd 58601,0.9239811332238161,67195,67195,Dickinson New Middle School Design,Contract,D,Middle School,DICKINSON MIDDLE SCHOOL,901,198000.0,219.7558268590455
967,6224 h st omaha ne 68117,6224 h street omaha ne 68117,0.9232689163503243,6053,6053,Ralston Sch-Karen Western Elem Addn/Remo,,D,,KAREN WESTERN ELEMENTARY SCH,188,35300.0,187.7659574468085
554,2751 de ronde dr fairfield ca 94533,2751 deronde drive fairfield ca 94533,0.9225970099520342,32890,32890,TUSD Scandia Elem School,Master Contract,D,Academic,TRAVIS INDEPENDENT STUDY,6,58871.0,9811.833333333334
324,17077 w 165th st olathe ks 66062,17077 west 165th street olathe ks 66062,0.9217415691878562,9962,9962,Prairie Creek Elementary - Additions,Master Contract,D,Elementary School,PRAIRIE CREEK ELEMENTARY,396,19880.0,50.2020202020202
7,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca,0.9214467964887316,62955,62955,Roseville Joint UHSD -Roseville HS Renov,,D,Academic,GRANITE BAY HIGH,2061,294000.0,142.64919941775838
5,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca,0.9214467964887316,62841,62841,Roseville Joint Union High School Distri,,D,Academic,GRANITE BAY HIGH,2061,1600.0,0.7763221737020863
4,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca,0.9214467964887316,62843,62843,Roseville Joint Union High School Distri,,D,Academic,GRANITE BAY HIGH,2061,1600.0,0.7763221737020863
6,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca,0.9214467964887316,62842,62842,Roseville Joint Union High School Distri,,D,Academic,GRANITE BAY HIGH,2061,1600.0,0.7763221737020863
549,2702 west 11th street kearney ne 68845,2702 w 11th st kearney ne 68845,0.9206738265850245,5760,5760,Kearney High School (NE),Contract,D,High School,KEARNEY HIGH SCHOOL,1599,340000.0,212.63289555972483
