,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
90,110 se alexander ave corvallis or 97333,110 se alexander ave corvallis or 97333,1.0000000000000002,108599,108599,"Corvallis SD- Lincoln ES, New",Contract,A,Elementary School,LINCOLN ELEMENTARY SCHOOL,376,65800.0,175.0
1084,7701 nw barry rd kansas city mo 64153,7701 nw barry rd kansas city mo 64153,1.0000000000000002,10402,10402,Park Hill High School Addns & Renovation,,D,,PARK HILL HIGH,1906,254000.0,133.26337880377756
1081,7654 n 19th ave phoenix az 85021,7654 n 19th ave phoenix az 85021,1.0000000000000002,14879,14879,Phoenix Day School for the Deaf,Contract,D,Middle School,ASDB/PHOENIX DAY SCHOOL,255,51410.0,201.6078431372549
678,35 s 4th street philadelphia pa 19106,35 s 4th street philadelphia pa 19106,1.0000000000000002,50465,50465,Mastery Charter School Lenfest Campus Re,,D,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
638,3223 il route 176 crystal lake il 60014,3223 il route 176 crystal lake il 60014,1.0000000000000002,12113,12113,Prairie Grove Middle School,Contract,D,,PRAIRIE GROVE ELEM SCHOOL,477,104000.0,218.02935010482182
679,35 s 4th street philadelphia pa 19106,35 s 4th street philadelphia pa 19106,1.0000000000000002,50466,50466,Mastery Charter School Lenfest Campus Re,,D,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
84,1085 pioneer trail east chaska mn 55318,1085 pioneer trail east chaska mn 55318,1.0000000000000002,20871,20871,Pioneer Ridge Freshman Center,,D,Middle School,PIONEER RIDGE MIDDLE SCHOOL,441,123800.0,280.72562358276645
1115,8050 n 129th avenue omaha ne 68142,8050 n 129th avenue omaha ne 68142,1.0000000000000002,5004,5004,Omaha Pub Sch New Davis Mid Sch Prog,Contract,D,Middle School,ALFONZA W DAVIS MIDDLE SCHOOL,725,182440.0,251.64137931034483
685,3500 sw windemere dr lee 's summit mo 64082,3500 sw windemere dr lee 's summit mo 64082,1.0000000000000002,10371,10371,Summit Lakes Junior High Sch,,D,,SUMMIT LAKES MIDDLE,941,139077.0,147.7970244420829
450,211 e main st ottawa il 61350,211 e main st ottawa il 61350,1.0000000000000002,12009,12009,Ottawa Fieldhouse,Revised Contract,D,,OTTAWA TOWNSHIP HIGH SCHOOL,1188,108000.0,90.9090909090909
124,1130 queen ave sw albany or 97321,1130 sw queen ave albany or 97321,1.0000000000000002,73698,73698,West Albany High School,Contract,A,High School,WEST ALBANY HIGH SCHOOL,1260,110000.0,87.3015873015873
127,11335 s 204th street gretna ne 68028,11335 s 204th street gretna ne 68028,1.0000000000000002,5196,5196,Gretna High School Addition,Contract,D,High School,GRETNA HIGH SCHOOL,1445,88000.0,60.89965397923876
453,2112 s tyler st tacoma wa 98405,2112 s tyler st tacoma wa 98405,1.0000000000000002,26269,26269,Foss High School Renovation & Addn PD-SD,,D,High School,FOSS,627,255000.0,406.69856459330146
634,32 e 115th st chicago il 60628,32 e 115th st chicago il 60628,1.0000000000000002,717,717,CPS Curtis Elementary School Renovation,Contract,D,Elementary School,CURTIS ELEM SCHOOL,446,105000.0,235.42600896860986
784,425 n waverly road gardner ks 66030,425 n waverly road gardner ks 66030,1.0000000000000002,75980,75980,Gardner Edgerton HS-Additions & Renov,Contract,D,High School,GARDNER EDGERTON HIGH,1725,50000.0,28.985507246376812
482,2221 28th avenue greeley co 80634,2221 28th avenue greeley co 80634,1.0000000000000002,108304,108304,Meeker E.S. Remodel,Contract,I,Elementary School,MEEKER ELEMENTARY SCHOOL,504,38350.0,76.09126984126983
859,500 n verrado way buckeye az 85326,500 n verrado way buckeye az 85326,1.0000000000000002,67611,67611,West-MEC SW Campus Improvements,Contract,I,Academic,SOUTHWEST CAMPUS,83,76148.0,917.4457831325301
1199,902 s jefferson kearney mo 64060,902 s jefferson kearney mo 64060,1.0000000000000002,10864,10864,Kearney Elementary HVAC Remodel,,D,,KEARNEY ELEM.,269,8000.0,29.739776951672862
857,500 n verrado way buckeye az 85326,500 n verrado way buckeye az 85326,1.0000000000000002,68092,68092,West-MEC SWC Phase 2,Master Contract,I,Academic,SOUTHWEST CAMPUS,83,46015.0,554.3975903614457
1231,9594 kiefer blvd  sacramento ca 95827,9594 kiefer blvd  sacramento ca 95827,1.0000000000000002,30339,30339,Rosemont H.S. Portables,,D,,ROSEMONT HIGH,1353,15840.0,11.707317073170731
858,500 n verrado way buckeye az 85326,500 n verrado way buckeye az 85326,1.0000000000000002,66530,66530,West-MEC SWC Phase 3,Contract,I,Academic,SOUTHWEST CAMPUS,83,51750.0,623.4939759036145
1232,9594 kiefer blvd  sacramento ca 95827,9594 kiefer blvd  sacramento ca 95827,1.0000000000000002,30333,30333,Rosemont H.S. Auditorium,Revised Contract,D,,ROSEMONT HIGH,1353,17000.0,12.564671101256467
272,1500 southridge houston tx 77090,1500 southridge houston tx 77090,1.0000000000000002,113435,113435,Spring ISD Westfield HS 9th Grade Center,Contract,A,Academic,EDWARD ROBERSON MIDDLE,804,138000.0,171.6417910447761
806,4400 north 107 street kansas city ks 66109,4400 north 107 street kansas city ks 66109,1.0000000000000002,9803,9803,Piper High School Additions & Renovation,Revised Contract,D,High School,PIPER HIGH,658,118470.0,180.04559270516717
268,1499 san luis dr san luis obispo ca 93401,1499 san luis dr san luis obispo ca 93401,1.0000000000000002,66065,66065,SLO H.S. Student Services VE,Contract,D,Academic,SAN LUIS OBISPO HIGH,1602,15000.0,9.363295880149813
267,1499 san luis dr san luis obispo ca 93401,1499 san luis dr san luis obispo ca 93401,1.0000000000000002,2119,2119,SLO H.S. Student Services VE,Contract,D,Academic,SAN LUIS OBISPO HIGH,1602,15000.0,9.363295880149813
