,Region,Columns Need Repair,Air Conditioner,Paint,Leak,Roof,Ceiling,Fungus Mold,Electric,Plumbing,Fence,Gate,Pests
0,Arecibo,0.18032786885245902,0.09836065573770492,0.3114754098360656,0.4262295081967213,0.3114754098360656,0.19672131147540983,0.06557377049180328,0.16393442622950818,0.08196721311475409,0.06557377049180328,0.19672131147540983,0.2459016393442623
1,Bayamón,0.1504424778761062,0.09734513274336283,0.2831858407079646,0.4336283185840708,0.34513274336283184,0.17699115044247787,0.07964601769911504,0.19469026548672566,0.07079646017699115,0.10619469026548672,0.18584070796460178,0.19469026548672566
2,Caguas,0.17391304347826086,0.09565217391304348,0.3739130434782609,0.3391304347826087,0.30434782608695654,0.24347826086956523,0.09565217391304348,0.12173913043478261,0.06086956521739131,0.02608695652173913,0.09565217391304348,0.1391304347826087
3,Humacao,0.12745098039215685,0.11764705882352941,0.3235294117647059,0.4117647058823529,0.37254901960784315,0.2549019607843137,0.08823529411764706,0.22549019607843138,0.08823529411764706,0.09803921568627451,0.22549019607843138,0.14705882352941177
4,Mayagüez,0.16911764705882354,0.08823529411764706,0.22794117647058823,0.3235294117647059,0.3088235294117647,0.23529411764705882,0.03676470588235294,0.15441176470588236,0.058823529411764705,0.04411764705882353,0.11029411764705882,0.09558823529411764
5,Ponce,0.12598425196850394,0.10236220472440945,0.2755905511811024,0.2204724409448819,0.29133858267716534,0.16535433070866143,0.015748031496062992,0.13385826771653545,0.07086614173228346,0.08661417322834646,0.11023622047244094,0.13385826771653545
6,San Juan,0.10416666666666667,0.07291666666666667,0.20833333333333334,0.3958333333333333,0.3541666666666667,0.3125,0.0625,0.2604166666666667,0.09375,0.07291666666666667,0.16666666666666666,0.3020833333333333
